,skipper,boat,lastName,
379,john hele,rebel rebel,hele,162
380,john hele,rebel,hele,162
381,john hele,ber 671,hele,162
382,john hele,renegade,hele,162
383,hele,usa 1199,hele,162
384,morten henriksen,rebel rebel,henriksen,163
385,rupert henry,cruel jane,henry,164
386,ralph hertz,encore,hertz,165
387,ralph hertz,revival,hertz,165
388,jamie hilton,mb iii,hilton,166
389,jamie hilton,usa 1225,hilton,166
390,jamie hilton,nameless,hilton,166
391,hing,strong iv usa youth team red,hing,167
392,robert hitchcock,proudest monkey,hitchcock,168
393,robert hitchcock,proudest monkey  (corinthian),hitchcock,168
394,robby hitchcock,riva,hitchcock,168
395,hitchcock,usa 1185,hitchcock,168
396,robert hitchcock,usa 1185,hitchcock,168
397,robert hitchcock,chemical imbalance,hitchcock,168
398,dick hodgeson,john deere,hodgeson,169
399,greg hodgkinson,NA,hodgkinson,170
400,hodgson,john deere,hodgson,171
401,d hodgson,john deere,hodgson,171
402,dick hodgson,john deere,hodgson,171
403,greg hodkinson,cool shivy,hodkinson,172
404,greg hodkinson,usa 1298,hodkinson,172
405,greg hodkinson,cruel jane,hodkinson,172
406,peter holmberg,provezza,holmberg,173
407,ed holt,eduardo especial,holt,174
408,tomas hornos,usa 1185,hornos,175
409,tomas hornos,1185,hornos,175
410,tomas hornos,usa 102,hornos,175
411,hornos,usa 102,hornos,175
412,zeke horowitz,usa 1090,horowitz,176
413,steve horowitz,widespread panic 2,horowitz,177
414,steve horowitz,widespread panic,horowitz,177
415,steve horwitz,widespread panic,horwitz,177
416,stephen horwitz,widespread panic,horwitz,177
417,steve horwitz,widespreadpanic 2,horwitz,177
418,steve horwtiz,widespread panic 2,horwtiz,177
419,tim hotchkiss,usa 1185,hotchkiss,178
420,tim hothkiss,usa 1185,hothkiss,178
421,aaron housten,lucky,housten,179
422,aaron housten,lucky  (corinthian),housten,179
423,a housten,usa 1280,housten,179
424,aaron housten,usa-1280,housten,179
425,aaron houston,glucklich,houston,179
426,james howells,china wight,howells,180
427,james howells,usa 1166,howells,180
428,james howells,gbr 1331,howells,180
429,james howells,gelert,howells,180
430,bruce huber,usa 1177,huber,181
431,james hudleston,hex,hudleston,182
432,tom hughes,wiki wiki ii,hughes,183
433,tom hughes,wiki wiki,hughes,183
434,jonah pruitt iii,jeremiah,iii,300
435,jonah iii,jeremiah,iii,300
436,huddleston james,something good,james,185
437,jeffrey jamison,great american,jamison,186
438,jeffrey jamison,great american  (corinthian),jamison,186
439,john jansheski,tbd,jansheski,187
440,john jansheski,usa 1306,jansheski,187
441,dever jeff,NA,jeff,97
442,nehms jeff,chica peligrosa,jeff,276
443,padnos jeff,NA,jeff,190
444,nehms jeff,NA,jeff,276
445,don jesberg,viva,jesberg,192
446,don jesberg,viva  (corinthian),jesberg,192
447,gary jobson,whirlwind,jobson,193
448,fred johnston,usa 1178,johnston,194
449,hugh jones,baugette,jones,195
450,ted jones,brazen hussy,jones,196
451,hugh jones,NA,jones,197
452,hugh jones,baguette,jones,197
453,joosten,moxie,joosten,198
454,fred joosten,moxie,joosten,198
455,jordan,strait dealer,jordan,199
456,jordan,1177,jordan,199
457,fuentes jose,caramba,jose,200
458,nye jothan,NA,jothan,201
459,philippe kahn,pegasus,kahn,202
460,rick kaiser,ninkasi,kaiser,203
461,rick kaiser,ninkasi  (corinthian),kaiser,203
462,rick kaiser,not ninkasi,kaiser,203
463,richard kaiser,ninkasi,kaiser,203
464,richard kaiser,ninkasi  (corinthian),kaiser,203
465,rick kaiser,nunkasi,kaiser,203
466,rick kaiser,julia,kaiser,203
467,rick kaiser,cyc,kaiser,203
468,"richard  kaiser",ninkasi,kaiser,203
469,"greg  kameika","quick  cat",kameika,204
470,greg kameika,quick cat,kameika,204
471,brian kamilar,blackadder,kamilar,205
472,brian kamilar,cougar,kamilar,205
473,scott kaufman,rebel,kaufman,206
474,scott kaufman,america jane 11,kaufman,206
475,scott kaufman,america jane ii,kaufman,206
476,pj keenan,trankeylo,keenan,207
