"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"38","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Tom Dawson / Rob Scrivenor",42,24,40,32,29,NA,NA,NA,125,"SHADES","USA 907",NA,NA,NA,"Ed Kriese  / Tom Dawson"
"39","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Rachel Daye / Chris Manson-Hing / Sam Tobio",49,36,25,44,21,NA,NA,NA,126,"USA Youth Team Blue","USA 1145",NA,NA,NA,"Sean Cornell  / Rachel Daye / Chris Manson-Hing"
"40","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Jeff Bonnanni / Eammon Delisser / Danielle Septembre",38,40,32,43,26,NA,NA,NA,136,"Mary Ann","USA 139",NA,NA,NA,"Peter E. Shumaker  / Jeff Bonnanni / Eammon Delisser"
"41","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brendan Healy / Reed Baldridge / Eliot Caple",36,38,49,33,32,NA,NA,NA,139,"Leading Edge","USA 1090",NA,NA,NA,"Jeff Dever  / Brendan Healy / Reed Baldridge"
"42","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Ed Barker / William Colehower",37,31,38,45,42,NA,NA,NA,148,"Hera","USA 1221",NA,NA,NA,"Hugh Greville  / Ed Barker"
"43","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","EhrenMorse / Joe Seremeth",45,35,29,42,43,NA,NA,NA,149,"USA 1224","USA 1224",NA,NA,NA,"Jamie Carter  / EhrenMorse"
"44","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","David Bannister / John Pruitt / Cam Carlin",34,42,34,46,45,NA,NA,NA,155,"Jeremiah","USA 1202",NA,NA,NA,"Jonah Pruitt  / David Bannister / John Pruitt"
"45","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Tim Banks / James Stanton",43,41,49,40,40,NA,NA,NA,164,"Nemesis","USA 1307",NA,NA,NA,"Jeff Nehms  / Tim Banks"
"46","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","James Tunkey / Gareth Bunney",46,44,37,41,47,NA,NA,NA,168,"Great American","USA 1397",NA,NA,NA,"Jeffrey Jamison  / James Tunkey"
"47","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,44,43,39,47,46,NA,NA,NA,172,"Morena Linda","FRA 1284",NA,NA,NA,NA
