"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"42",42,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Ed Barker / William Colehower",37,31,38,45,42,NA,NA,NA,148,"hera","USA 1221",NA,NA,NA,"hugh greville","Hugh Greville  / Ed Barker","greville",149
"43",43,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","EhrenMorse / Joe Seremeth",45,35,29,42,43,NA,NA,NA,149,"usa 1224","USA 1224",NA,NA,NA,"jamie carter","Jamie Carter  / EhrenMorse","carter",67
"44",44,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","David Bannister / John Pruitt / Cam Carlin",34,42,34,46,45,NA,NA,NA,155,"jeremiah","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / David Bannister / John Pruitt","pruitt",300
"45",45,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Tim Banks / James Stanton",43,41,49,40,40,NA,NA,NA,164,"nemesis","USA 1307",NA,NA,NA,"jeff nehms","Jeff Nehms  / Tim Banks","nehms",276
"46",46,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","James Tunkey / Gareth Bunney",46,44,37,41,47,NA,NA,NA,168,"great american","USA 1397",NA,NA,NA,"jeffrey jamison","Jeffrey Jamison  / James Tunkey","jamison",186
"47",47,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,44,43,39,47,46,NA,NA,NA,172,"morena linda","FRA 1284",NA,NA,NA,NA,NA,NA,NA
"48",48,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Butch Patterson / Christopher Pryce",47,45,41,48,48,NA,NA,NA,181,"hat trick","USA 1342",NA,NA,NA,"david pryor","David Pryor  / Butch Patterson","pryor",301
"49",49,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Michael Menninger / Ian Liberty / Jonny Goldsberry",1,3,3,NA,NA,NA,NA,NA,7,"terrapin","USA 1228",NA,NA,NA,"stephen benjamin","Stephen Benjamin  / Michael Menninger / Ian Liberty","benjamin",29
"50",50,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Erik Shampain / Cy Thompson / Michael Buckley",4,5,4,NA,NA,NA,NA,NA,13,"skanky gene","USA 1464",NA,NA,NA,"jay cross","Jay Cross  / Erik Shampain / Cy Thompson","cross",83
"51",51,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Luke Lawrence / Eric Lawrence",3,7,10,NA,NA,NA,NA,NA,20,"1225","USA 1225",NA,NA,NA,"tom lihan","Tom Lihan  / Luke Lawrence","lihan",227
"52",52,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Will Felder / Brian Kamilar / Nikki Medley",12,6,7,NA,NA,NA,NA,NA,25,"blackadder ii","CAN 1451",NA,NA,NA,"andrew cumming","Andrew Cumming  / Will Felder / Brian Kamilar","cumming",86
"53",53,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chris Larson / Noel Drennan",5,4,17,NA,NA,NA,NA,NA,26,"goombay smash","USA 1455",NA,NA,NA,"william douglass","William Douglass  / Chris Larson","douglass",103
"54",54,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brian Hammersley / Andrew Mills",22,8,2,NA,NA,NA,NA,NA,32,"swedish blue","GBR 1438",NA,NA,NA,"ante razmilovic","Ante Razmilovic  / Brian Hammersley","razmilovic",306
"55",55,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Evan Aras / Alec Anderson / Wilson Stout",10,11,12,NA,NA,NA,NA,NA,33,"caramba","USA 1405",NA,NA,NA,"jose fuentes","Jose Fuentes  / Evan Aras / Alec Anderson","fuentes",200
"56",56,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Steve Hunt / Mark Ivey / Serena Vilage",2,31,1,NA,NA,NA,NA,NA,34,"lifted","USA 1408",NA,NA,NA,"jim cunningham","Jim Cunningham  / Steve Hunt / Mark Ivey","cunningham",88
"57",57,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ezra Culver / Karl Anderson",20,18,6,NA,NA,NA,NA,NA,44,"american baby","USA 1394",NA,NA,NA,"george francisco","George Francisco  / Ezra Culver","francisco",127
"58",58,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Jon Easley / Glen Burton",7,33,5,NA,NA,NA,NA,NA,45,"firing line","USA 1398",NA,NA,NA,"bruce burton","Bruce Burton  / Jon Easley","burton",50
"59",59,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Austen Anderson / Lucas Calabrese / Diego Stefani",11,28,8,NA,NA,NA,NA,NA,47,"rebel","USA 1419",NA,NA,NA,"scott kaufman","Scott Kaufman  / Austen Anderson / Lucas Calabrese","kaufman",206
"60",60,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Skip Dieball / Morton Henriksen",21,10,16,NA,NA,NA,NA,NA,47,"warcanoe","USA 1469",NA,NA,NA,"michael goldfarb","Michael Goldfarb  / Skip Dieball","goldfarb",142
