"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"1694",1694,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,2,13,NA,NA,NA,NA,NA,NA,15,"efyra 3","GRE 1368","3",NA,3,"george andreadis","George Andreadis","andreadis",NA
"1695",1695,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,6,9,NA,NA,NA,NA,NA,NA,15,"la tormenta","USA 1137","37",NA,4,"shannon bush","Shannon Bush","bush",53
"1696",1696,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,14,2,NA,NA,NA,NA,NA,NA,16,"aging rockstar","USA 102","2",NA,5,"smith","Smith/Frazer","smith",NA
"1697",1697,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,5,11,NA,NA,NA,NA,NA,NA,16,"gelert","GBR 993","93",NA,6,"james howells","James Howells","howells",180
"1698",1698,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,17,1,NA,NA,NA,NA,NA,NA,18,"keep smiling","USA 1232","32",NA,7,"marvin beckmann","Marvin Beckmann","beckmann",237
"1699",1699,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,15,5,NA,NA,NA,NA,NA,NA,20,"brass monkey","USA 980","49",NA,8,"michael frerker","Michael Frerker","frerker",130
"1700",1700,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,7,14,NA,NA,NA,NA,NA,NA,21,"usa 1225","USA 1225","25",NA,9,"tom lihan","Tom Lihan","lihan",227
"1701",1701,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,20,7,NA,NA,NA,NA,NA,NA,27,"usa 1185","USA 1185","85",NA,10,"allardice","Allardice / Hitchcock","allardice",5
"1702",1702,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,10,17,NA,NA,NA,NA,NA,NA,27,"bedrock","GBR 987","87",NA,11,"robert elliott","Robert Elliott","elliott",113
"1703",1703,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,11,16,NA,NA,NA,NA,NA,NA,27,"flying colors","USA 1241","41",NA,12,"ken womack","Ken Womack","womack",374
"1704",1704,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,21,8,NA,NA,NA,NA,NA,NA,29,"cougar","USA 1085","18",NA,13,"ethan doyle","Ethan Doyle","doyle",104
"1705",1705,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,29,3,NA,NA,NA,NA,NA,NA,32,"raging rooster","USA 1397","17",NA,14,"peter duncan","Peter Duncan","duncan",109
"1706",1706,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,12,20,NA,NA,NA,NA,NA,NA,32,"mahalaga","USA 1168","68",NA,15,"peter vessella","Peter Vessella","vessella",363
"1707",1707,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,23,15,NA,NA,NA,NA,NA,NA,38,"tiburon","BER 1394","89",NA,16,"watson","Watson / Kneulman","watson",364
"1708",1708,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,9,30,NA,NA,NA,NA,NA,NA,39,"caramba","USA 1097","97",NA,17,"jose fuentes","Jose Fuentes","fuentes",200
"1709",1709,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,1,44,NA,NA,NA,NA,NA,NA,45,"usa 12","USA 12","12",NA,18,"phil wehrheim","Phil Wehrheim","wehrheim",365
"1710",1710,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,33,12,NA,NA,NA,NA,NA,NA,45,"usa 1310","USA 1310","10",NA,19,"john podmajersky","John Podmajersky","podmajersky",296
"1711",1711,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,13,32,NA,NA,NA,NA,NA,NA,45,"clean execution","USA 1305","5",NA,20,"michael gavin","Michael Gavin","gavin",136
"1712",1712,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,30,19,NA,NA,NA,NA,NA,NA,49,"usa 1341","USA 1341","34",NA,21,"chuck poindexter","Chuck Poindexter","poindexter",297
"1713",1713,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,31,21,NA,NA,NA,NA,NA,NA,52,"usa 1280","USA 1280","80",NA,22,"craig mense","Craig Mense","mense",257
"1714",1714,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,16,37,NA,NA,NA,NA,NA,NA,53,"anam chara","SUI 1187","47",NA,23,"james mchugh","James McHugh","mchugh",248
"1715",1715,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,22,31,NA,NA,NA,NA,NA,NA,53,"annie","BAH 1388","88",NA,24,"gary gilbert","Gary Gilbert","gilbert",135
"1716",1716,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,26,28,NA,NA,NA,NA,NA,NA,54,"trankeylo","USA 1145","45",NA,25,"pj keenan","PJ Keenan","keenan",207
"1717",1717,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,19,36,NA,NA,NA,NA,NA,NA,55,"bella rena","CAN 1327","27",NA,26,"henry demone","Henry Demone","demone",94
"1718",1718,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,32,23,NA,NA,NA,NA,NA,NA,55,"firing line","USA 1398","98",NA,27,"bruce burton","Bruce Burton","burton",50
"1719",1719,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,28,27,NA,NA,NA,NA,NA,NA,55,"julia","USA 978","78",NA,28,"rick kaiser","Rick Kaiser","kaiser",203
"1720",1720,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,4,52,NA,NA,NA,NA,NA,NA,56,"usa 1296","USA 1296","96",NA,29,"jeffrey siegal","Jeffrey Siegal","siegal",331
"1721",1721,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,39,18,NA,NA,NA,NA,NA,NA,57,"nemesis","USA 1307","7",NA,30,"jeff nehms","Jeff Nehms","nehms",276
"1722",1722,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,18,39,NA,NA,NA,NA,NA,NA,57,"vertigo","USA 1055","15",NA,31,"chris lanza","Chris Lanza","lanza",72
"1723",1723,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,37,22,NA,NA,NA,NA,NA,NA,59,"wayward","CAN 1231","23",NA,32,"jerry o'brien","Jerry O'Brien","brien",39
"1724",1724,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,35,25,NA,NA,NA,NA,NA,NA,60,"pipe dream xvi","USA 1372","72",NA,33,"scott piper","Scott Piper","piper",292
"1725",1725,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,52,10,NA,NA,NA,NA,NA,NA,62,"playmaker","usa 1260","60",NA,34,"alan kelly","Alan Kelly","kelly",208
"1726",1726,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,41,24,NA,NA,NA,NA,NA,NA,65,"widespread panic","USA 1239","39",NA,35,"steve horwitz","Steve Horwitz","horwitz",177
"1727",1727,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,25,40,NA,NA,NA,NA,NA,NA,65,"kgb","USA 1308","8",NA,36,"kinney","Kinney / Bischoff","kinney",342
"1728",1728,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,36,33,NA,NA,NA,NA,NA,NA,69,"usa 1199","USA 1199","99",NA,37,"hele","Hele / Mills","hele",162
"1729",1729,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,24,47,NA,NA,NA,NA,NA,NA,71,"victory","USA 1373","73",NA,38,"buddy cribb","Buddy Cribb","cribb",82
"1730",1730,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,45,26,NA,NA,NA,NA,NA,NA,71,"can 968","CAN 968","91",NA,39,"jerry wendt","Jerry Wendt","wendt",367
"1731",1731,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,42,29,NA,NA,NA,NA,NA,NA,71,"trixie blue","USA 1155","51",NA,40,"schneibner","Schneibner / Norsworthy","schneibner",322
"1732",1732,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,27,45,NA,NA,NA,NA,NA,NA,72,"lucky","USA 1355","55",NA,41,"bryon ehrhart","Bryon Ehrhart","ehrhart",111
"1733",1733,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,38,35,NA,NA,NA,NA,NA,NA,73,"hat trick","USA 1328","28",NA,42,"toso","Toso / Naylon","toso",360
"1734",1734,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,34,43,NA,NA,NA,NA,NA,NA,77,"usa 1402","USA 1402","14",NA,43,"jim cunningham","Jim Cunningham","cunningham",88
"1735",1735,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,44,34,NA,NA,NA,NA,NA,NA,78,"jester","USA 1041","4",NA,44,"robert burgess","Robert Burgess","burgess",47
"1736",1736,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,40,38,NA,NA,NA,NA,NA,NA,78,"gumption","USA 1208","20",NA,45,"kevin grainger","Kevin Grainger","grainger",147
"1737",1737,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,43,42,NA,NA,NA,NA,NA,NA,85,"america jane ii","USA 1198","19",NA,46,"scott kaufman","Scott Kaufman","kaufman",206
"1738",1738,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,46,41,NA,NA,NA,NA,NA,NA,87,"jeremiah","USA 1202","22",NA,47,"jonah pruitt iii","Jonah Pruitt III","iii",300
"1739",1739,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,47,46,NA,NA,NA,NA,NA,NA,93,"skye","USA 880","61",NA,48,"bruce avery","Bruce Avery","avery",17
"1740",1740,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,48,48,NA,NA,NA,NA,NA,NA,96,"morena linda","CAN 1284","84",NA,49,"mauricio verdier","Mauricio Verdier","verdier",362
"1741",1741,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,49,49,NA,NA,NA,NA,NA,NA,98,"crapshoot","USA 1111","11",NA,50,"patricia stadel","Patricia Stadel","stadel",288
"1742",1742,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012Doren.html","Sid Doren Memorial",NA,50,50,NA,NA,NA,NA,NA,NA,100,"john deere","USA 1094","94",NA,51,"hodgson","Hodgson / Bourke","hodgson",171
"1743",1743,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,1,1,2,NA,3,NA,NA,NA,7,"efyra 3","GRE 1368","3",NA,1,"george andreadis","George Andreadis/Tony Rey","andreadis",11
"1744",1744,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,2,NA,3,7,7,NA,NA,NA,19,"mahalaga","USA 1168","68",NA,2,"peter vessella","Peter Vessella","vessella",363
"1745",1745,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,4,10,5,6,NA,NA,NA,NA,25,"usa 1296","USA 1296","96",NA,3,"jeffrey siegal","Jeffrey Siegal","siegal",331
"1746",1746,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,7,9,NA,11,6,NA,NA,NA,33,"clean execution","USA 1305","5",NA,5,"michael gavin","Michael Gavin","gavin",136
"1747",1747,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,6,11,NA,13,5,NA,NA,NA,35,"usa 1225","USA 1225","25",NA,6,"russ sylvestri","Russ Sylvestri / Tom Lihan","sylvestri",350
"1748",1748,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,3,2,32,2,NA,NA,NA,NA,39,"la tormenta","USA 1137","37",NA,7,"shannon bush","Shannon Bush","bush",53
"1749",1749,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,9,14,18,NA,1,NA,NA,NA,42,"pipe dream xvi","USA 1372","72",NA,9,"scott piper","Scott Piper","piper",292
"1750",1750,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,11,NA,21,5,11,NA,NA,NA,48,"caramba","USA 1097","97",NA,10,"jose fuentes","Jose Fuentes","fuentes",200
"1751",1751,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,23,NA,8,10,8,NA,NA,NA,49,"usa 1185","USA 1185","85",NA,11,"allardice","Allardice / Hitchcock","allardice",5
"1752",1752,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,14,NA,10,17,9,NA,NA,NA,50,"usa 1402","USA 1402","14",NA,12,"jim cunningham","Jim Cunningham","cunningham",88
"1753",1753,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,15,3,NA,21,17,NA,NA,NA,56,"usa 1177","USA 1177","77",NA,14,"bruce huber","Bruce Huber","huber",181
"1754",1754,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,20,5,14,NA,18,NA,NA,NA,57,"keep smiling","USA 1232","32",NA,15,"marvin beckmann","Marvin Beckmann","beckmann",237
"1755",1755,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,25,6,4,NA,24,NA,NA,NA,59,"tiburon","BER 1394","89",NA,16,"mark watson","Mark Watson / Dirk Kneulman","watson",364
"1756",1756,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,5,NA,30,22,4,NA,NA,NA,61,"raging rooster","USA 1397","17",NA,17,"peter duncan","Peter Duncan","duncan",109
"1757",1757,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,8,13,23,19,NA,NA,NA,NA,63,"victory","USA 1373","73",NA,18,"buddy cribb","Buddy Cribb","cribb",82
"1758",1758,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,10,NA,12,15,26,NA,NA,NA,63,"vertigo","USA 1055","15",NA,19,"chris lanza","Chris Lanza","lanza",72
"1759",1759,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,29,4,28,9,NA,NA,NA,NA,70,"leading edge","USA 1090","90",NA,20,"girling","Girling / Dever / Proctor","girling",140
"1760",1760,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,13,NA,25,32,2,NA,NA,NA,72,"usa 102","USA 102","2",NA,22,"tomas hornos","Tomas Hornos/Henry Frazier","hornos",175
"1761",1761,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,21,22,22,NA,19,NA,NA,NA,84,"lucky","USA 1355","55",NA,24,"bryon ehrhart","Bryon Ehrhart","ehrhart",111
"1762",1762,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,12,21,38,NA,16,NA,NA,NA,87,"usa 12","USA 12","12",NA,25,"guy mossman","Guy Mossman","mossman",268
"1763",1763,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,18,20,NA,18,33,NA,NA,NA,89,"nemesis","USA 1307","7",NA,26,"jeff nehms","Jeff Nehms","nehms",276
"1764",1764,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,17,34,15,25,NA,NA,NA,NA,91,"champagne iii","USA 1259","59",NA,27,"john ulbrich","John Ulbrich","ulbrich",361
"1765",1765,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,16,NA,33,28,15,NA,NA,NA,92,"cougar","USA 1085","18",NA,29,"ethan doyle","Ethan Doyle","doyle",104
"1766",1766,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,24,24,17,NA,34,NA,NA,NA,99,"usa 1310","USA 1310","10",NA,31,"john podmajersky","John Podmajersky","podmajersky",296
"1767",1767,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,27,25,19,36,NA,NA,NA,NA,107,"jester","USA 1041","4",NA,32,"robert burgess","Robert Burgess","burgess",47
"1768",1768,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,31,26,37,NA,22,NA,NA,NA,116,"lakota","USA 1224","24",NA,34,"peter sulick","Peter Sulick","sulick",348
"1769",1769,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,22,NA,20,38,37,NA,NA,NA,117,"usa 1280","USA 1280","80",NA,35,"craig mense","Craig Mense","mense",257
"1770",1770,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,26,37,NA,24,31,NA,NA,NA,118,"flying colors","USA 1241","41",NA,36,"ken womack","Ken Womack","womack",374
"1771",1771,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,41,16,NA,31,35,NA,NA,NA,123,"can 968","CAN 968","91",NA,37,"jerry wendt","Jerry Wendt","wendt",367
"1772",1772,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,37,NA,36,27,28,NA,NA,NA,128,"ber 671","BER 671","99",NA,38,"john hele","John Hele / Jamie Mills","hele",162
"1773",1773,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,34,NA,39,35,29,NA,NA,NA,137,"brass monkey","USA 980","49",NA,40,"michael frerker","Michael Frerker","frerker",130
"1774",1774,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,38,35,27,42,NA,NA,NA,NA,142,"trankeylo","USA 1145","45",NA,41,"pj keenan","PJ Keenan","keenan",207
"1775",1775,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,39,41,30,33,NA,NA,NA,NA,143,"america jane ii","USA 1198","19",NA,42,"scott kaufman","Scott Kaufman","kaufman",206
"1776",1776,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,33,29,44,NA,38,NA,NA,NA,144,"playmaker","USA 1260","60",NA,43,"alan kelly","Alan Kelly","kelly",208
"1777",1777,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,40,15,NA,44,47,NA,NA,NA,146,"usa 1103","USA 1103","43",NA,44,"todd lalumiere","Todd Lalumiere","lalumiere",217
"1778",1778,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,44,NA,40,40,45,NA,NA,NA,169,"wayward","CAN 1231","23",NA,45,"jerry o'brien","Jerry O'Brien","brien",39
"1779",1779,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,45,NA,53,41,32,NA,NA,NA,171,"trixie blue","USA 1155","51",NA,47,"doug schneibner","Doug Schneibner / Tom Norsworthy","schneibner",321
"1780",1780,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,47,44,46,NA,36,NA,NA,NA,173,"gumption","USA 1208","20",NA,49,"kevin grainger","Kevin Grainger","grainger",147
"1781",1781,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012FLS.html","Florida State Championship",NA,51,50,47,NA,30,NA,NA,NA,178,"jeremiah","USA 1202","22",NA,50,"jonah pruitt iii","Jonah Pruitt III","iii",300
"1782",1782,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,4,1,1,8,2,NA,NA,NA,16,"efyra 3","3",NA,NA,1,"george andreadis","George Andreadis","andreadis",11
"1783",1783,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,1,2,NA,6,5,2,NA,NA,16,"usa 1225","25",NA,NA,2,"tom lihan","Tom Lihan","lihan",227
"1784",1784,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,2,NA,7,14,1,5,NA,NA,29,"usa 1296","96",NA,NA,3,"jeffrey siegal","Jeffrey Siegal","siegal",331
"1785",1785,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,6,NA,4,2,12,7,NA,NA,31,"usa 102","2",NA,NA,4,"tomas hornos","Tomas Hornos / Henry Frazer","hornos",175
"1786",1786,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,9,6,NA,11,9,6,NA,NA,41,"usa 1375","75",NA,NA,7,"argyle campbell","Argyle Campbell","campbell",57
"1787",1787,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,20,5,NA,16,4,4,NA,NA,49,"leading edge","90",NA,NA,8,"girling","Girling / Dever/ Proctor","girling",140
"1788",1788,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,18,10,18,NA,6,1,NA,NA,53,"usa 1177","77",NA,NA,9,"bruce huber","Bruce Huber","huber",181
"1789",1789,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,8,NA,8,1,20,18,NA,NA,55,"pipe dream xvi","72",NA,NA,10,"scott piper","Scott Piper","piper",292
"1790",1790,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,10,17,5,NA,15,9,NA,NA,56,"usa 1185","85",NA,NA,12,"barry allardice","Barry Allardice / Rob Hitchcock","allardice",5
"1791",1791,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,3,3,14,17,22,NA,NA,NA,59,"victory","73",NA,NA,13,"buddy cribb","Buddy Cribb","cribb",82
"1792",1792,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,7,8,19,NA,17,13,NA,NA,64,"mahalaga","68",NA,NA,14,"peter vessella","Peter Vessella","vessella",363
"1793",1793,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,12,9,21,12,13,NA,NA,NA,67,"usa 1264","64",NA,NA,15,"francisco","Francisco / Guerriero","francisco",127
"1794",1794,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,15,NA,6,22,7,19,NA,NA,69,"la tormenta","37",NA,NA,16,"shannon bush","Shannon Bush","bush",53
"1795",1795,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,11,14,2,NA,29,17,NA,NA,73,"firing line","98",NA,NA,17,"bruce burton","Bruce Burton","burton",50
"1796",1796,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,5,16,NA,10,21,25,NA,NA,77,"kgb","8",NA,NA,18,"ben kinney","Ben Kinney / Senet Bischoff","kinney",342
"1797",1797,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,22,NA,3,30,19,12,NA,NA,86,"usa 1341","34",NA,NA,19,"chuck poindexter","Chuck Poindexter","poindexter",297
"1798",1798,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,24,20,24,7,NA,16,NA,NA,91,"can 968","91",NA,NA,20,"jerry wendt","Jerry Wendt","wendt",367
"1799",1799,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,15,23,19,21,NA,14,NA,NA,92,"usa 1300","13",NA,NA,21,"mike dressell","Mike Dressell / Ernie Pomerleau","dressell",108
"1800",1800,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,23,29,NA,4,16,21,NA,NA,93,"usa 1402","14",NA,NA,22,"jim cunningham","Jim Cunningham","cunningham",88
"1801",1801,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,14,NA,9,33,14,32,NA,NA,102,"vertigo","15",NA,NA,24,"chris lanza","Chris Lanza","lanza",72
"1802",1802,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,17,21,22,15,28,NA,NA,NA,103,"cougar","18",NA,NA,25,"ethan doyle","Ethan Doyle","doyle",104
"1803",1803,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,25,15,20,18,32,NA,NA,NA,110,"bella rena","27",NA,NA,26,"henry demone","Henry Demone","demone",94
"1804",1804,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,30,12,25,13,34,NA,NA,NA,114,"flying colors","41",NA,NA,27,"ken womack","Ken Womack","womack",374
"1805",1805,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,21,26,NA,32,11,31,NA,NA,121,"caramba","97",NA,NA,28,"jose fuentes","Jose Fuentes","fuentes",200
"1806",1806,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,28,28,16,NA,26,33,NA,NA,131,"ber 671","99",NA,NA,29,"john hele","John Hele / Jamie Mills","hele",162
"1807",1807,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,26,NA,26,NA,30,26,NA,NA,NA,"playmaker","60",NA,NA,31,"alan kelly","Alan Kelly","kelly",208
"1808",1808,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,31,25,27,36,NA,22,NA,NA,141,"wayward","23",NA,NA,32,"jerry o'brien","Jerry O'Brien","brien",39
"1809",1809,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,38,32,31,NA,24,27,NA,NA,152,"trankeylo","45",NA,NA,33,"pj keenan","PJ Keenan","keenan",207
"1810",1810,NA,2012,"http://www.etchellsfleet20.org/results/2012/2012JMW.html","Miami Mid-Winters",NA,32,31,NA,31,31,29,NA,NA,154,"julia","78",NA,NA,34,"rick kaiser","Rick Kaiser","kaiser",203
