"","bow","sail number","yacht name","yacht design","skipper/crew","race1","race2","race3","race4","race5","to","total","year","url","name","race6","race7","race8","owner/skipper","place","#","other #","boat name","owner","race 1","race 2","race 3","race 4","race 5","race 6","bow #","sail #","race 7","pos","bow/sail","boat","skipper","1","2","3","4","totalpoints","race 8","sail#","bow#","r1","r2","r3","r4","r5","r6","throwouttotal pts","crew","club","5","6","7","8","race 1 pts","race 2 pts","total points","pts","from","ttl","pl.","total
points","total
 points","throwout total pts","r 1","r 2","r 3","r 4","r 5","r 6","r 7","r 8"
"228","7","USA 1307","Nemesis","Etchells","Jeff Nehms  / Tim Banks / Jillian Aydelotte / Scott Wotherspoon","27","26","30","33","11","[33]","143.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","26","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","20","USA 1220","SHADES","Etchells","Ed Kriese  / Lindsay Harvath / Tom Dawson","26","33","28","25","19","[33]","143.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","21","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","2","USA 1302","Blue Duck","Etchells","Ron Thompson  / Rob Goddard / Pete Tindale","33","27","24","17","25","[33]","148.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","29","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","98","USA 1198","The Plant Hunter","Etchells","Malcolm Offord  / Laurence Mead / Jack Sharland","23","32","25","29","23","[32]","153.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","25","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","12","USA 1000","Resolute/ USEYT","Etchells","Michael Morley  / Lars Orsell / Carina Becker / Kyle Magno","31","30","23","22","26","[31]","155.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","4","Can 1010","1010","Etchells","Andre Beese  / Bruce Scott / Alex McMillan","28","31","33","31","21","[33]","166.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","30","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","22","USA 1202","Jeremiah","Etchells","Jonah Pruitt  / David Bannister / Bob Hurst / Max Thompson","29","29","32","27","27","[32]","169.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","28","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Race #","Protesting","","Protested","Reason","Hearing","Status","Jury Decision","1.","4","Rebel (USA 1419)","Port-Starboard RRS 10","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","La Tormenta (USA 1415/1137)","vs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Protesting","","Protested","Reason","Hearing","Status","Jury Decision","1.","4","La Tormenta (USA 1415/1137)","Port-Starboard RRS 10","06:30PM","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup","vs","Rebel (USA 1419)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","vs","Rebel (USA 1419)","Port-Starboard RRS 10","06:30PM","Closed","Dismissed",NA,NA,NA,NA,NA,NA,"2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157","Coral Reef Cup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","8","USA 1408","Lifted","Etchells","Jim Cunningham  / Jeff Madrigali / Mark Ivey / Serena Vilage","2","1","11","16","2","[16]","16.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","34","GBR 1434","Alfie","Etchells","Lawrie Smith  / Richard Parslow / Goncalo Ribeiro / Graham Sunderland","1","5","8","12","3","[12]","17.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","40","USA 1405","Caramba","Etchells","Jose Fuentes  / Luke Lawrence / Ian Coleman","5","17","15","1","1","[17]","22.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","68","USA 1168","Mahalaga","Etchells","Peter Vessella  / Tracy Usher / John Callahan","3","15","32","5","6","[32]","29.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","32","USA 1412","Lion Heart","Etchells","Adrian Owles  / Steve Girling / Taylor Walker","15","2","5","10","20","[20]","32.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","62","USA 1262","SCIMITAR","Etchells","Steve Benjamin  / Michael Menninger / Ian Liberty / Evan Aras","19","12","1","2","23","[23]","34.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","15","USA 1415","La Tormenta","Etchells","Shannon W Bush  / Brad Boston / Dave Hein / Craig Noakes","6","6","4","20","26","[26]","36.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","51","CAN 1451","Blackadder II","Etchells","Andrew Cumming  / Brian Kamilar / William Felder / Nikki Medley","21","3","25","8","7","[25]","39.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","80","USA 1280","Freedom","Etchells","Craig Mense  / John Harford / Fred Strammer / Emily Dellenbaugh","16","8","6","9","31","[31]","39.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","19","USA 1198","America Jane 11","Etchells","Scott Kaufman  / Alex Curtiss / Austen Anderson / Jesse Kirkland","48/RET","10/RDG","12","7","10","[48]","39.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","14","USA 1414","Skanky Gene","Etchells","Jay Cross  / Morgan Reeser","7","4","26","21","8","[26]","40.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","18","GBR 1418","Strait Dealer","Etchells","Montel Fagan-Jordan  / Matt Reid / Shabazz Patterson / Camilo Orobio","13","10","13","6","13","[13]","42.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","98","USA 1398","Firing Line","Etchells","Bruce Burton  / Glenn Burton / Jon Easley","8","26","23","4","9","[26]","44.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","85","USA 1185","USA 1185","Etchells","Robert Allardice  / Tomas Hornos / Ben Newman","17","29","2","31","4","[31]","52.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","13","USA 1300","USA1300","Etchells","Ernest Pomerleau  / Monica Morgan / Chris Morgan / Sarah Paisley","10","27","3","14","48/RET","[48]","54.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","60","USA 1060","US Youth Team","Etchells","Connor Needham  / Jimmy Kennedy / Bram Brakman / Hannah Polster","25","11","20","3","33","[33]","59.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","63","USA 1363","War Canoe","Etchells","Michael Goldfarb  / Morten Henriksen / Skip Dieball","48/UFD","18","10","29","5","[48]","62.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","20","USA 1208","Gumption3","Etchells","Kevin Grainger  / Chuck Norris / Jeremy Wilmont","20","13","14","15","25","[25]","62.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
