"","bow","sail number","yacht name","yacht design","skipper/crew","race1","race2","race3","race4","race5","to","total","year","url","name","race6","race7","race8","owner/skipper","place","#","other #","boat name","owner","race 1","race 2","race 3","race 4","race 5","race 6","bow #","sail #","race 7","pos","bow/sail","boat","skipper","1","2","3","4","totalpoints","race 8","sail#","bow#","r1","r2","r3","r4","r5","r6","throwouttotal pts","crew","club","5","6","7","8","race 1 pts","race 2 pts","total points","pts","from","ttl","pl.","total
points","total
 points","throwout total pts","r 1","r 2","r 3","r 4","r 5","r 6","r 7","r 8"
"256","78","USA 1378","The Martian","Etchells","Marvin Beckmann  / Jeff Eiber / Chris Nesbitt","9","28","7","19","29","[29]","63.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","54","BER 1454","Tiburon","Etchells","Mark Watson  / Dirk Kneulman / Tony Rey / Leisa Toppa","18","7","19","28","19","[28]","63.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","49","USA 1349","KGB","Etchells","Senet  Bischoff  / Ben Kinney / Clay Bischoff","11","20","24","23","12","[24]","66.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","67","USA 1167","3 Amigos","Etchells","Cuyler Morris  / Eric Doyle / Elliott Wislar","12","21","28","11","48/RET","[48]","72.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","12","GBR 1432","Desperate","Etchells","Rob Tyrwhitt-Drake  / Mark Mansfield / Ben Cassford","27","14","17","32","15","[32]","73.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","27","CAN 1327","Blackadder","Etchells","Enrique Quintero  / Brendan Healy / Rebecaa Liggins / Simon Sanders","23","22","16","13","30","[30]","74.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","10","USA 1310","USA 1310","Etchells","John Podmajersky  / Thomas Kent / Justin Damore","4","33","21","27","24","[33]","76.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","5","USA 1305","Clean Execution","Etchells","Michael Gavin  / Bill Abbott / Wes Bemus","26","9","35","25","16","[35]","76.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","71","USA 1371","USA 1371","Etchells","Ken Womack  / Watt Duffy / Dan Peckham","33","31","9","18","22","[33]","80.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","94","USA 1394","American Baby","Etchells","Scott Young  / Karl Anderson / Ezra Culver","48/UFD","16","31","22","18","[48]","87.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
