"","regatta_id","day","raceID","competitorID","competitorName","score","place"
"105",9,2018-09-22,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",173,6
"106",9,2018-09-22,0,"University of Rhode Island","University of Rhode Island",232,13
"107",9,2018-09-22,0,"University of Vermont","University of Vermont",244,15
"108",9,2018-09-22,0,"Yale University","Yale University",173,5
"109",10,2018-09-22,0,"Boston College","Boston College",268,7
"110",10,2018-09-22,0,"Boston University","Boston University",181,2
"111",10,2018-09-22,0,"Bowdoin College","Bowdoin College",245,6
"112",10,2018-09-22,0,"Brown University","Brown University",307,10
"113",10,2018-09-22,0,"Connecticut College","Connecticut College",279,8
"114",10,2018-09-22,0,"Harvard University","Harvard University",227,4
"115",10,2018-09-22,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",306,9
"116",10,2018-09-22,0,"Roger Williams University","Roger Williams University",240,5
"117",10,2018-09-22,0,"Tufts University","Tufts University",113,1
"118",10,2018-09-22,0,"Yale University","Yale University",425,11
"119",11,2018-09-22,0,"Bentley University","Bentley University",268,14
"120",11,2018-09-22,0,"Boston College","Boston College",128,2
"121",11,2018-09-22,0,"Bowdoin College","Bowdoin College",208,9
"122",11,2018-09-22,0,"Harvard University","Harvard University",158,6
"123",11,2018-09-22,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",296,15
"124",11,2018-09-22,0,"Northeastern University","Northeastern University",212,10
"125",11,2018-09-22,0,"Roger Williams University","Roger Williams University",137,3
"126",11,2018-09-22,0,"Salve Regina University","Salve Regina University",223,11
"127",11,2018-09-22,0,"Tufts University","Tufts University",147,4
"128",11,2018-09-22,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",155,5
"129",11,2018-09-22,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",402,17
"130",11,2018-09-22,0,"University of Rhode Island","University of Rhode Island",120,1
"131",11,2018-09-22,0,"University of Vermont","University of Vermont",226,12
"132",11,2018-09-22,0,"Wentworth Institute of Technology","Wentworth Institute of Technology",365,16
"133",12,2018-09-22,0,"Bates College","Bates College",177,13
"134",12,2018-09-22,0,"Brown University","Brown University",70,4
"135",12,2018-09-22,0,"Fairfield University","Fairfield University",158,12
"136",12,2018-09-22,0,"Maine Maritime Academy","Maine Maritime Academy",118,9
"137",12,2018-09-22,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",206,16
"138",12,2018-09-22,0,"McGill University","McGill University",142,11
"139",12,2018-09-22,0,"Middlebury College","Middlebury College",241,17
"140",12,2018-09-22,0,"Providence College","Providence College",300,18
"141",12,2018-09-22,0,"Salve Regina University","Salve Regina University",103,7
"142",12,2018-09-22,0,"Tufts University","Tufts University",92,6
"143",12,2018-09-22,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",59,1
"144",12,2018-09-22,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",204,15
"145",12,2018-09-22,0,"University of Rhode Island","University of Rhode Island",67,3
"146",12,2018-09-22,0,"University of Vermont","University of Vermont",65,2
"147",12,2018-09-22,0,"Wesleyan University","Wesleyan University",184,14
"148",12,2018-09-22,0,"Yale University","Yale University",129,10
"149",13,2018-09-29,0,"Boston College","Boston College",83,4
"150",13,2018-09-29,0,"Boston University","Boston University",108,12
"151",13,2018-09-29,0,"Bowdoin College","Bowdoin College",88,7
"152",13,2018-09-29,0,"Connecticut College","Connecticut College",78,3
"153",13,2018-09-29,0,"Dartmouth College","Dartmouth College",88,9
"154",13,2018-09-29,0,"Harvard University","Harvard University",88,8
"155",13,2018-09-29,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",87,6
"156",13,2018-09-29,0,"Roger Williams University","Roger Williams University",117,15
"157",13,2018-09-29,0,"Tufts University","Tufts University",94,10
"158",13,2018-09-29,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",85,5
"159",13,2018-09-29,0,"University of Rhode Island","University of Rhode Island",148,19
"160",13,2018-09-29,0,"Yale University","Yale University",68,2
"161",14,2018-09-29,0,"Boston University","Boston University",62,1
"162",14,2018-09-29,0,"Brown University","Brown University",111,6
"163",14,2018-09-29,0,"Harvard University","Harvard University",109,5
"164",14,2018-09-29,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",187,11
"165",14,2018-09-29,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",215,13
"166",14,2018-09-29,0,"Northeastern University","Northeastern University",218,14
"167",14,2018-09-29,0,"Roger Williams University","Roger Williams University",154,10
"168",14,2018-09-29,0,"Tufts University","Tufts University",103,4
"169",14,2018-09-29,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",230,15
"170",14,2018-09-29,0,"University of Rhode Island","University of Rhode Island",76,2
"171",14,2018-09-29,0,"Yale University","Yale University",94,3
"172",15,2018-09-29,0,"Bentley University","Bentley University",344,16
"173",15,2018-09-29,0,"Boston College","Boston College",175,5
"174",15,2018-09-29,0,"Boston University","Boston University",244,10
"175",15,2018-09-29,0,"Brown University","Brown University",205,7
"176",15,2018-09-29,0,"Harvard University","Harvard University",200,6
"177",15,2018-09-29,0,"Maine Maritime Academy","Maine Maritime Academy",319,15
"178",15,2018-09-29,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",303,14
"179",15,2018-09-29,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",361,18
